Antiques	Decorative Arts	Metalware	Other		660
Antiques	Decorative Arts	Mirrors			1283
Antiques	Decorative Arts	Picture Frames	Metal		507
Antiques	Decorative Arts	Picture Frames	Wood		2310
Antiques	Decorative Arts	Picture Frames	Mixed Materials		402
Antiques	Decorative Arts	Picture Frames	Other		159
Antiques	Decorative Arts	Toleware			1032
Antiques	Decorative Arts	Woodenware	Bowls		337
Antiques	Decorative Arts	Woodenware	Boxes		1896
Antiques	Decorative Arts	Woodenware	Carved Figures		859
Antiques	Decorative Arts	Woodenware	Trays		194
Antiques	Decorative Arts	Woodenware	Other		984
Antiques	Decorative Arts	Price Guides &amp; Publications			15
Antiques	Decorative Arts	Other			2143
Antiques	Ethnographic	African	Jewelry		151
Antiques	Ethnographic	African	Masks		1469
Antiques	Ethnographic	African	Sculptures &amp; Statues		1829
Antiques	Ethnographic	African	Other		2022
Antiques	Ethnographic	Latin American			254
Antiques	Ethnographic	Native American			492
Antiques	Ethnographic	Pacific Islands &amp; Oceania			1176
Antiques	Ethnographic	Price Guides &amp; Publications			1
Antiques	Ethnographic	Other			194
Antiques	Furniture	Armoires &amp; Wardrobes	Pre-1800		22
Antiques	Furniture	Armoires &amp; Wardrobes	1800-1899		163
Antiques	Furniture	Armoires &amp; Wardrobes	1900-1950		139
Antiques	Furniture	Armoires &amp; Wardrobes	Post-1950		768
Antiques	Furniture	Armoires &amp; Wardrobes	Unknown		23
Antiques	Furniture	Beds &amp; Bedroom Sets	Pre-1800		7
Antiques	Furniture	Beds &amp; Bedroom Sets	1800-1899		244
Antiques	Furniture	Beds &amp; Bedroom Sets	1900-1950		376
Antiques	Furniture	Beds &amp; Bedroom Sets	Post-1950		134
Antiques	Furniture	Beds &amp; Bedroom Sets	Unknown		17
Antiques	Furniture	Benches &amp; Stools	Pre-1800		5
Antiques	Furniture	Benches &amp; Stools	1800-1899		165
Antiques	Furniture	Benches &amp; Stools	1900-1950		414
Antiques	Furniture	Benches &amp; Stools	Post-1950		235
Antiques	Furniture	Benches &amp; Stools	Unknown		32
Antiques	Furniture	Bookcases	Pre-1800		2
Antiques	Furniture	Bookcases	1800-1899		166
Antiques	Furniture	Bookcases	1900-1950		257
Antiques	Furniture	Bookcases	Post-1950		118
Antiques	Furniture	Bookcases	Unknown		10
Antiques	Furniture	Cabinets &amp; Cupboards	Pre-1800		35
Antiques	Furniture	Cabinets &amp; Cupboards	1800-1899		656
Antiques	Furniture	Cabinets &amp; Cupboards	1900-1950		1235
Antiques	Furniture	Cabinets &amp; Cupboards	Post-1950		340
Antiques	Furniture	Cabinets &amp; Cupboards	Unknown		55
Antiques	Furniture	Chairs	Pre-1800		55
Antiques	Furniture	Chairs	1800-1899		673
Antiques	Furniture	Chairs	1900-1950		2024
Antiques	Furniture	Chairs	Post-1950		1359
Antiques	Furniture	Chairs	Unknown		154
Antiques	Furniture	Chests &amp; Trunks	Pre-1800		29
Antiques	Furniture	Chests &amp; Trunks	1800-1899		267
Antiques	Furniture	Chests &amp; Trunks	1900-1950		221
Antiques	Furniture	Chests &amp; Trunks	Post-1950		131
Antiques	Furniture	Chests &amp; Trunks	Unknown		51
Antiques	Furniture	Desks &amp; Secretaries	Pre-1800		27
Antiques	Furniture	Desks &amp; Secretaries	1800-1899		273
Antiques	Furniture	Desks &amp; Secretaries	1900-1950		431
Antiques	Furniture	Desks &amp; Secretaries	Post-1950		236
Antiques	Furniture	Desks &amp; Secretaries	Unknown		47
Antiques	Furniture	Dining Sets	Pre-1800		1
Antiques	Furniture	Dining Sets	1800-1899		25
Antiques	Furniture	Dining Sets	1900-1950		144
Antiques	Furniture	Dining Sets	Post-1950		132
Antiques	Furniture	Dining Sets	Unknown		10
Antiques	Furniture	Dressers &amp; Vanities	Pre-1800		14
Antiques	Furniture	Dressers &amp; Vanities	1800-1899		303
Antiques	Furniture	Dressers &amp; Vanities	1900-1950		589
Antiques	Furniture	Dressers &amp; Vanities	Post-1950		258
Antiques	Furniture	Dressers &amp; Vanities	Unknown		46
Antiques	Furniture	Hall Trees &amp; Stands	Pre-1800		3
Antiques	Furniture	Hall Trees &amp; Stands	1800-1899		126
Antiques	Furniture	Hall Trees &amp; Stands	1900-1950		145
Antiques	Furniture	Hall Trees &amp; Stands	Post-1950		41
Antiques	Furniture	Hall Trees &amp; Stands	Unknown		12
Antiques	Furniture	Nightstands	Pre-1800		1
Antiques	Furniture	Nightstands	1800-1899		76
Antiques	Furniture	Nightstands	1900-1950		148
Antiques	Furniture	Nightstands	Post-1950		76
Antiques	Furniture	Nightstands	Unknown		4
Antiques	Furniture	Sideboards &amp; Buffets	Pre-1800		10
Antiques	Furniture	Sideboards &amp; Buffets	1800-1899		258
Antiques	Furniture	Sideboards &amp; Buffets	1900-1950		365
Antiques	Furniture	Sideboards &amp; Buffets	Post-1950		166
Antiques	Furniture	Sideboards &amp; Buffets	Unknown		17
Antiques	Furniture	Sofas &amp; Chaises	1800-1899		177
Antiques	Furniture	Sofas &amp; Chaises	1900-1950		361
Antiques	Furniture	Sofas &amp; Chaises	Post-1950		196
Antiques	Furniture	Sofas &amp; Chaises	Unknown		20
Antiques	Furniture	Tables	Pre-1800		65
Antiques	Furniture	Tables	1800-1899		733
Antiques	Furniture	Tables	1900-1950		2270
Antiques	Furniture	Tables	Post-1950		1315
Antiques	Furniture	Tables	Unknown		100
Antiques	Furniture	Parts &amp; Salvaged Pieces			317
Antiques	Furniture	Price Guides &amp; Publications			7
Antiques	Furniture	Other			1438
Antiques	Home &amp; Hearth	Baby Carriages &amp; Buggies			107
Antiques	Home &amp; Hearth	Baby Cradles			14
Antiques	Home &amp; Hearth	Bath Tubs			41
Antiques	Home &amp; Hearth	Clothing Wringers			27
Antiques	Home &amp; Hearth	Hearth Ware			146
Antiques	Home &amp; Hearth	Ice Boxes			46
Antiques	Home &amp; Hearth	Meat Grinders			110
Antiques	Home &amp; Hearth	Sinks			16
Antiques	Home &amp; Hearth	Stoves			360
Antiques	Home &amp; Hearth	Toasters			48
Antiques	Home &amp; Hearth	Trivets			32
Antiques	Home &amp; Hearth	Washing Machines			56
Antiques	Home &amp; Hearth	Other			452
Antiques	Linens &amp; Textiles (Pre-1930)	Bed &amp; Bath Linens	Bedspreads &amp; Coverlets		270
Antiques	Linens &amp; Textiles (Pre-1930)	Bed &amp; Bath Linens	Blankets		43
Antiques	Linens &amp; Textiles (Pre-1930)	Bed &amp; Bath Linens	Pillowcases		239
Antiques	Linens &amp; Textiles (Pre-1930)	Bed &amp; Bath Linens	Sheets		216
Antiques	Linens &amp; Textiles (Pre-1930)	Bed &amp; Bath Linens	Towels		150
Antiques	Linens &amp; Textiles (Pre-1930)	Bed &amp; Bath Linens	Other		21
Antiques	Linens &amp; Textiles (Pre-1930)	Embroidery			1859
Antiques	Linens &amp; Textiles (Pre-1930)	Fabric	Chenille		3
Antiques	Linens &amp; Textiles (Pre-1930)	Fabric	Cotton		604
Antiques	Linens &amp; Textiles (Pre-1930)	Fabric	Damask		22
Antiques	Linens &amp; Textiles (Pre-1930)	Fabric	Linen		246
